time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,
5400,5.33716108485,25.7797495508,43.2532787536,34.8781,92.0923,48.2871,2502,
2700,5.41984444434,27.1246419361,41.4885605596,37.0965,94.6116,51.0898,8503,
4500,5.35811486952,27.0349054388,42.1355802875,36.6005,93.8461,51.2507,7544,
6300,5.76127560872,30.2370085034,41.4409164484,39.2021,96.3301,61.5458,7521,
2700,5.45180226464,29.1673464797,40.775443462,39.8423,97.2892,54.6533,6834,
6300,5.58407630023,30.5212283264,41.1550232475,39.585,96.6251,60.216,2502,
3600,5.48633432941,28.3400992304,40.9550822562,38.8117,96.2184,53.9476,8503,
5400,5.53265938392,26.2832048362,42.7724348902,35.5568,92.6508,52.6978,7544,
7200,5.57818256265,32.1481754976,40.3655688406,41.7422,99.2627,57.2391,7521,
3600,5.34832388491,26.3790761517,41.782689828,36.327,93.7944,51.1173,6834,
7200,5.75384387285,32.3949963407,40.026411703,42.1505,99.4403,61.0631,2502,
4500,5.15684735983,25.2252986056,42.9455088304,34.3878,91.3733,47.5538,8503,
6300,5.63044241809,33.505884663,40.1710698811,43.2779,100.6552,61.144,7544,
4500,5.19734364661,26.0074554376,42.5470240106,35.3411,92.5482,47.3458,6834,
8100,6.0794857016,34.2005611151,39.6302165331,44.5516,101.8331,69.0373,7521,
5400,5.49153093433,26.7877265074,41.9432514832,36.4075,93.746,51.648,8503,
8100,6.28143772088,36.3402152687,38.5796867643,47.078,104.003,70.3636,2502,
7200,5.44180778485,30.1634907381,40.8153436011,39.4996,96.7587,56.272,7544,
5400,5.04681956722,25.3957913669,43.273770854,34.2888,91.5168,46.4276,6834,
9000,6.85388005895,41.8465007,36.4126199987,53.2278,110.6384,82.4169,7521,
6300,5.48869726961,33.0817864712,39.8017057645,42.8513,100.5568,59.6489,8503,
9000,6.00927406805,33.0530572902,39.8724488174,42.8011,100.26,63.4267,2502,
8100,5.76242482387,32.5270997175,40.5211709258,42.057,99.3967,61.6382,7544,
6300,5.90218321688,33.9858406227,39.6417158173,43.8508,101.0502,67.6347,6834,
9900,6.06931217616,32.6962459407,39.6571251504,42.8939,100.2062,64.8818,7521,
7200,6.05622175188,34.5763553365,39.7740268176,44.2515,101.5116,66.7627,8503,
9900,6.41038735986,35.6618626795,38.5806894323,46.1379,103.7329,71.9022,2502,
9000,5.89356097155,33.9019225345,39.6320906937,43.7989,101.2255,63.2747,7544,
7200,5.33227667624,30.9076572579,40.8268948339,40.0805,97.4481,55.5982,6834,
10800,6.04385804418,35.3558875849,38.8424581615,45.7524,102.8175,66.8453,7521,
10800,5.9640613413,33.5953079503,39.7621741229,43.6055,100.7104,63.3716,2502,
9900,5.88444764748,33.2908618685,39.5621921647,43.5363,100.8456,63.7733,7544,
8100,6.18561774377,32.7724807962,40.1451653602,42.7111,99.9844,66.3022,8503,
8100,5.42988910276,31.3542168174,40.6404663522,40.964,98.3711,56.9698,6834,
11700,6.09861826813,34.3264222077,39.2454583873,44.1607,101.9036,67.4231,7521,
11700,6.19370437367,33.5130725435,39.5779973572,43.4746,100.9433,66.2942,2502,
10800,6.05488309329,34.8051962266,38.8664556379,45.2704,102.1279,66.1867,7544,
9000,6.24807767085,37.1892222172,38.0845128822,48.0016,105.4209,68.6462,8503,
9000,5.67599731254,33.1334349114,39.7935422436,43.0212,100.4789,61.4898,6834,
