episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-7.938002507,-213.9345442,-119.5248775,15,40,900,FALSE,37800,1680,42,324c9b560d4a46c6be01c9b317c789ab,1580272159,362.8318574,15311.20332,3042,alienware,169.229.222.110,15311.20332,37800,42,2,3a985096,1027.46298,150.1652178,1.628273843,21504,25200,361299.371,3.843,2704.67,3.234,17.72625483,61.17335907,0.200000003,0.0005,-0.245884746,-0.251159817,1932.646973,-4.65E-05,0.026278783,23.04170609,0
-9.106799807,-222.9542228,-114.3688091,15,40,900,FALSE,38700,1720,43,324c9b560d4a46c6be01c9b317c789ab,1580272523,363.2606969,15674.46401,3042,alienware,169.229.222.110,15674.46401,38700,43,2,3a985096,1027.531656,150.2054075,1.627579232,22016,25800,360454.991,3.902,2703.548,3.279,17.95984556,61.98069498,0.200000003,0.0005,-0.199794188,-0.205388367,2234.260498,-5.33E-05,0.027859274,23.03530312,0
-8.110953684,-222.9542228,-117.2835487,15,40,900,FALSE,39600,1760,44,324c9b560d4a46c6be01c9b317c789ab,1580272885,362.1281204,16036.59213,3042,alienware,169.229.222.110,16036.59213,39600,44,2,3a985096,1027.666336,150.2529026,1.626965764,22528,26400,360617.486,3.87,2708.622,3.399,17.88003876,62.8375969,0.200000003,0.0005,-0.253212363,-0.258819461,1998.738403,-4.51E-05,0.027935503,23.01431274,0
-8.110953684,-222.9542228,-110.3443668,15,40,900,FALSE,40500,1800,45,324c9b560d4a46c6be01c9b317c789ab,1580273247,362.7993689,16399.3915,3042,alienware,169.229.222.110,16399.3915,40500,45,2,3a985096,1027.659049,150.291455,1.626689527,23040,27000,360021.104,3.856,2714.865,3.229,18.98030888,63.67393822,0.200000003,0.0005,-0.232035577,-0.237580061,1825.065308,-4.77E-05,0.027631326,22.97077179,0
-8.110953684,-213.7230488,-116.5695563,15,40,900,FALSE,41400,1840,46,324c9b560d4a46c6be01c9b317c789ab,1580273617,369.22454,16768.61604,3042,alienware,169.229.222.110,16768.61604,41400,46,2,3a985096,1027.864087,150.3903073,1.626732615,23552,27600,362071.335,3.777,2733.614,3.239,18.61901141,64.50855513,0.200000003,0.0005,-0.202325791,-0.207862094,2352.858154,-5.17E-05,0.0275639,22.99492836,0
-8.979720073,-210.8186748,-116.803812,15,40,900,FALSE,42300,1880,47,324c9b560d4a46c6be01c9b317c789ab,1580273983,366.0922737,17134.70831,3042,alienware,169.229.222.110,17134.70831,42300,47,2,3a985096,1028.153088,150.4920055,1.626848842,24064,28200,363727.586,4.006,2727.132,3.385,18.2583174,65.29713193,0.200000003,0.0005,-0.214516565,-0.220096931,1943.803467,-5.01E-05,0.027804853,22.93348312,0
-8.979720073,-213.3793255,-110.1760878,15,40,900,FALSE,43200,1920,48,324c9b560d4a46c6be01c9b317c789ab,1580274335,351.871984,17486.5803,3042,alienware,169.229.222.110,17486.5803,43200,48,2,3a985096,1028.039679,150.4861936,1.627228289,24576,28800,362260.223,3.939,2721.775,3.409,17.6259481,66.10778443,0.200000003,0.0005,-0.231689095,-0.237779781,1925.996948,-3.34E-05,0.030357201,22.84875107,0
-8.919175569,-213.3793255,-102.0779052,15,40,900,FALSE,44100,1960,49,324c9b560d4a46c6be01c9b317c789ab,1580274694,359.1746519,17845.75495,3042,alienware,169.229.222.110,17845.75495,44100,49,2,3a985096,1027.481493,150.4119795,1.627342774,25088,29400,361299.667,4.03,2717.01,3.431,17.82553606,66.92553606,0.200000003,0.0005,-0.221737415,-0.227201819,1957.587891,-3.71E-05,0.027224161,22.84938049,0
-8.588760141,-210.9788585,-105.7797604,15,40,900,FALSE,45000,2000,50,324c9b560d4a46c6be01c9b317c789ab,1580275066,372.1249895,18217.87994,3042,alienware,169.229.222.110,18217.87994,45000,50,2,3a985096,1027.151683,150.3959814,1.627128461,25600,30000,360777.197,3.786,2714.869,3.489,17.66986817,67.80301318,0.200000003,0.0005,-0.229504913,-0.235083312,2148.597168,-3.92E-05,0.027784694,22.86565971,0
-8.588760141,-210.9788585,-124.7256604,15,40,900,FALSE,45900,2040,51,324c9b560d4a46c6be01c9b317c789ab,1580275439,373.2707782,18591.15072,3042,alienware,169.229.222.110,18591.15072,45900,51,2,3a985096,1027.580215,150.5185747,1.62675459,26112,30600,361552.034,3.643,2714.354,3.418,17.84680451,68.63026316,0.200000003,0.0005,-0.198091835,-0.204128355,2487.551514,-4.91E-05,0.030058226,22.89953995,0
