time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,,,,,
3600,2.04083386955,23.2471701992,44.7321580589,30.9455,89.0773,17.6053,1310,,,,,
5400,2.61574118989,22.9796887103,43.9248604731,31.011,88.8653,22.3547,1445,,,,,
4500,2.62409465265,20.61284026,45.5056384533,28.3354,85.9086,21.6169,1310,,,,,
7200,3.69524148459,31.9110435128,42.1525498347,40.0974,96.655,39.088,1115,,,,,
900,1.34070976893,17.41505658,46.4937229077,24.6081,83.3479,9.2693,1293,,,,,
6300,3.73363646846,30.6119987105,42.1709266426,38.8342,96.0648,39.0853,1445,,,,,
1800,1.3891215728,15.6770001692,47.8283622368,22.5009,80.1637,9.3707,1293,,,,,
5400,2.8045604944,23.5948890674,44.3834351782,31.3303,88.8533,24.9493,1310,,,,,
7200,3.70229813725,29.91039863,42.0215758109,38.5227,95.7212,37.8889,1445,,,,,
2700,1.82977560706,19.8053719341,45.7051415997,27.7403,85.4375,14.2916,1293,,,,,
8100,6.98422063901,39.738976591,37.5857149771,50.5669,108.7974,85.0089,1115,,,,,
6300,3.64814568755,30.0477894877,42.1227622876,38.2131,95.8856,37.8756,1310,,,,,
3600,1.98331542199,21.9387793403,45.5016099184,29.3384,86.6886,16.0916,1293,,,,,
7200,3.50049115078,30.442236184,42.3550290639,38.4926,95.1918,36.6916,1310,,,,,
8100,6.85322658557,39.0473214365,38.3262981229,49.4081,107.6303,84.4338,1445,,,,,
9000,7.7071991826,42.8360838072,36.450918508,53.6005,112.1167,103.912,1115,,,,,
4500,2.64720031577,21.3528090072,44.99636364,29.197,86.9335,22.4676,1293,,,,,
5400,2.74558459859,23.7981016538,44.0278868777,31.8049,89.474,24.1084,1293,,,,,
8100,7.45189316793,40.4853436121,37.2543127122,51.6194,110.1496,93.9644,1310,,,,,
9000,7.54074520072,41.0549198136,36.7305434809,52.629,111.3343,95.0089,1445,,,,,
9900,10.1914412626,50.606390903,33.7246201337,65.7147,124.1265,141.9591,1115,,,,,
6300,3.7213707788,31.0038402652,42.4083521801,39.1872,95.9696,39.2302,1293,,,,,
7200,3.91549847099,30.1923417771,42.6011676146,38.3015,95.0597,41.3049,1293,,,,,
9000,8.9385041314,52.8498815578,33.4228460254,67.6189,126.2118,132.6889,1310,,,,,
9900,10.0520823275,51.3917315655,33.4781298959,65.5865,123.8634,140.5964,1445,,,,,
10800,11.0554069224,61.8915391785,32.6203590787,76.5167,134.8158,172.864,1115,,,,,
8100,7.20214791845,40.618936641,37.1456023706,51.6549,110.2498,89.8969,1293,,,,,
9900,10.8495248196,58.9658172996,32.8110786419,74.95,133.2895,159.7458,1310,,,,,
10800,11.2675305277,58.7241003762,32.9655880022,73.8256,132.1357,173.0516,1445,,,,,
11700,9.3790176408,57.6808903724,34.07752621,70.7211,129.4195,137.4418,1115,,,,,
9000,7.37048951065,43.5055584122,35.8460287579,55.0449,113.6242,92.8507,1293,,,,,
10800,10.4828262782,55.0580654429,33.3335050198,69.3541,127.5683,152.0711,1310,,,,,
11700,10.8632526751,69.5538954825,31.7415398458,86.7542,145.3053,172.2418,1445,,,,,
12600,9.57345771136,53.7770245697,34.0813378376,67.6392,125.9304,137.3067,1115,,,,,
9900,10.4942876625,50.7663463866,34.0871322165,65.0961,123.2197,148.5724,1293,,,,,
11700,9.93778280975,60.9838425937,33.0984229263,76.081,134.5955,151.6551,1310,,,,,
12600,10.4237581301,66.7653829367,32.1567807945,82.8439,141.2299,165.6942,1445,,,,,
13500,9.1550676115,52.9398133254,34.8419680872,65.5557,123.7598,131.9396,1115,,,,,
10800,11.6711692258,60.9090497933,31.747941959,77.4946,135.8286,180.8542,1293,,,,,
12600,9.23377450091,53.0226253819,34.0365878482,67.0251,125.4068,127.3636,1310,,,,,
13500,9.26921006096,52.843282245,34.6811061118,66.0763,124.4944,131.3351,1445,,,,,
14400,8.95783677313,52.8606153633,35.3229886567,65.3178,123.8012,127.944,1115,,,,,
11700,10.9762510066,62.9672041138,32.1127873614,80.0465,138.2319,172.0711,1293,,,,,
13500,8.67883944581,46.5680116275,35.1822868838,59.7673,118.2739,112.4658,1310,,,,,
15300,7.97049359861,44.1445494727,36.5520785022,57.9947,115.8703,102.4516,1115,,,,,
14400,9.5639030746,53.5519175401,33.9614974821,67.224,125.9117,140.4862,1445,,,,,
12600,9.88250295654,59.4951059503,33.02243465,74.1795,132.4612,146.9058,1293,,,,,
14400,9.57987806363,50.1706043452,34.0800011111,64.8756,123.1614,131.9236,1310,,,,,
16200,7.5033839705,38.4413022097,36.9289972145,51.8828,109.8663,93.2987,1115,,,,,
15300,8.22167840417,51.4720975394,34.8984101305,66.2943,124.1001,114.2107,1445,,,,,
17100,5.95293938896,31.551407121,39.6485222027,42.6816,100.362,60.7769,1115,,,,,
13500,9.1945436659,52.1448190049,34.9363211447,65.4702,124.0598,128.9289,1293,,,,,
15300,7.87422843347,43.1319422208,36.2001302616,58.1148,115.6165,100.5236,1310,,,,,
16200,7.40465818234,37.7669808989,37.4185199231,51.26,108.8642,90.8693,1445,,,,,
900,1.47801582606,17.9509314922,46.7973601612,25.3219,82.8893,10.8836,1838,,,,,
1800,1.45686865706,16.6423973165,47.42329037,23.674,81.4738,9.752,1838,,,,,
18000,6.01634013388,29.799796563,40.026294853,40.6279,98.2756,61.5316,1115,,,,,
16200,7.221527636,38.3919489752,37.3321697431,51.891,109.5563,88.4844,1310,,,,,
17100,7.03102729413,37.0268520439,37.9187234995,50.1119,107.4342,84.7182,1445,,,,,
2700,1.88826505637,19.3518353883,45.8894870397,27.1135,85.0395,14.1236,1838,,,,,
14400,9.0432319694,53.9446250539,34.7600661697,66.7437,125.0271,128.064,1293,,,,,
3600,2.12118095452,23.2854110606,44.8538107074,30.5655,88.8594,18.4142,1838,,,,,
18900,5.60675676137,28.8933598458,40.4361750508,40.1157,97.876,55.5156,1115,,,,,
18000,6.14068879596,31.8227206858,39.1886087414,43.3546,101.3117,62.8364,1445,,,,,
17100,6.93064726036,36.1385810437,38.0532041718,48.9343,106.5533,81.9849,1310,,,,,
4500,2.61278678152,23.4020980112,44.3900465962,31.3367,88.603,22.9751,1838,,,,,
15300,7.49453164182,41.7820786065,36.8442406888,54.6506,112.6058,93.5378,1293,,,,,
19800,5.24904008571,28.6301842381,41.3982834147,38.692,96.3627,50.6729,1115,,,,,
5400,2.75768644788,23.5863953444,44.0479854054,31.3629,88.8236,24.44,1838,,,,,
18900,4.9901861525,26.5455928629,42.0946489481,36.1651,93.8998,46.4942,1445,,,,,
18000,5.62165508547,28.3104324128,40.8864990601,39.0342,96.5332,55.7129,1310,,,,,
16200,7.47057868217,37.5053608245,37.6524753164,50.6153,108.271,92.0204,1293,,,,,
20700,4.91597536036,26.1776577674,42.1973294741,36.2316,93.8641,44.4907,1115,,,,,
6300,3.81849359063,30.7482982821,42.5423771766,38.8845,95.8687,39.5182,1838,,,,,
19800,5.13325227972,27.0764660058,41.9425675228,36.9605,94.5153,48.8338,1445,,,,,
18900,5.00171798457,25.1354113582,42.093445081,35.3399,93.1508,45.032,1310,,,,,
7200,3.66702221856,29.5309437706,42.4396566408,37.6465,94.9526,37.52,1838,,,,,
17100,5.87557374487,31.8204567776,39.7215315917,43.1297,100.7923,61.096,1293,,,,,
21600,5.15354039255,27.9668173575,41.603437332,37.9455,95.5967,50.7538,1115,,,,,
20700,4.72709430036,25.8340271714,42.4501249152,35.5915,93.5622,43.4276,1445,,,,,
19800,4.95641344739,26.7437256621,42.027828733,36.64,94.2893,46.6871,1310,,,,,
18000,5.83328651508,28.4859761632,41.076048577,38.8718,96.6361,58.8533,1293,,,,,
8100,6.71514089949,41.6656317501,37.5098301927,51.8968,110.7531,85.1493,1838,,,,,
21600,5.14763180217,27.3027048666,41.3508388351,37.3695,95.1809,48.5644,1445,,,,,
20700,5.04745823368,28.5373489399,40.8744264416,38.8435,96.6399,49.1796,1310,,,,,
18900,5.24434955116,30.2380184579,39.9872317664,41.1376,98.9799,52.1422,1293,,,,,
21600,4.9116566057,25.2643555704,42.1811806191,35.3994,92.8533,44.6027,1310,,,,,
9000,7.83465763455,45.4573804025,35.7371258741,57.8015,116.0114,100.208,1838,,,,,
19800,4.9320640746,25.5249316692,42.5632263441,35.0965,92.4836,45.3093,1293,,,,,
9900,9.71190514914,47.1653681934,35.0510054683,60.0088,118.2472,129.3653,1838,,,,,
20700,5.61014834613,28.1751056019,41.111239169,38.6468,96.4268,54.9644,1293,,,,,
21600,5.18990211658,27.1832365735,41.6288398324,37.3561,95.0905,49.0107,1293,,,,,
10800,10.4500499057,55.9683460252,32.9517382955,70.4001,128.7197,152.1653,1838,,,,,
11700,10.3337414791,55.98806407,32.9107351569,71.8136,130.2623,151.1893,1838,,,,,
12600,9.49900260257,55.6887918435,33.9619045087,69.7622,128.2382,139.4409,1838,,,,,
13500,8.80726753891,49.6386722556,35.502120132,61.8911,120.0619,117.008,1838,,,,,
14400,9.55880523207,50.8419861763,33.4588721846,67.0056,125.3986,132.952,1838,,,,,
15300,7.59699613574,43.1000173394,36.1499862038,57.621,115.4839,94.8729,1838,,,,,
16200,7.14064821512,37.9757360091,37.5907963234,50.8093,108.1581,86.4347,1838,,,,,
17100,6.70856915292,32.5963616407,39.1931027527,44.5957,102.4264,72.9556,1838,,,,,
